,Sample Number,Lubrication Condition,Pin Material,Weight (kg),RPM,wear0,wear1,wear2,friction0,friction1,friction2
22,23,No Lubrication,Aluminium,3,200,49.91294117647059,49.8,51.597647058823526,9.831176470588234,10.855294117647059,11.070000000000002
23,24,No Lubrication,Aluminium,3,250,187.46764705882353,187.13117647058826,187.54529411764707,10.421764705882353,10.56294117647059,10.10235294117647
24,25,No Lubrication,Aluminium,4,100,194.33941176470586,194.87823529411764,195.7464705882353,9.558823529411764,9.698823529411765,9.478823529411766
25,26,No Lubrication,Aluminium,4,150,201.37882352941176,202.24588235294118,204.92705882352942,10.314705882352941,10.386470588235296,10.545882352941177
26,27,No Lubrication,Aluminium,4,200,222.88764705882352,224.39882352941177,225.5635294117647,10.258235294117647,10.235294117647058,10.386470588235294
27,28,No Lubrication,Aluminium,4,250,235.30176470588236,238.8870588235294,238.2258823529412,9.311176470588236,8.518235294117646,7.628235294117648
28,29,No Lubrication,Aluminium,5,100,28.375882352941176,23.34705882352941,28.073529411764707,16.646470588235296,17.466470588235293,17.765294117647063
29,30,No Lubrication,Aluminium,5,150,29.558235294117647,28.315882352941177,27.038235294117644,17.478823529411763,17.541176470588233,17.221764705882354
30,31,No Lubrication,Aluminium,5,200,29.884705882352947,30.099411764705884,30.490000000000002,18.211764705882356,18.708235294117646,18.771764705882358
31,32,No Lubrication,Aluminium,5,250,256.61117647058825,257.2388235294118,257.3588235294118,18.824117647058824,15.753529411764706,15.506470588235295
32,33,Half Lubrication,Brass,8,100,144.77588235294118,144.61117647058822,160.6294117647059,10.76529411764706,10.259411764705884,9.561176470588235
33,34,Half Lubrication,Brass,8,150,169.94,172.24058823529413,172.3994117647059,8.943529411764706,9.0,8.999411764705881
34,35,Half Lubrication,Brass,8,200,194.80705882352942,193.2805882352941,196.2935294117647,8.181764705882353,8.243529411764705,8.244117647058824
35,36,Half Lubrication,Brass,8,250,175.0235294117647,178.09470588235294,176.39882352941174,7.7052941176470595,7.768823529411766,7.656470588235294
36,37,Half Lubrication,Brass,9,100,208.37882352941173,207.08294117647057,206.26529411764707,10.514117647058823,10.49764705882353,10.430588235294117
37,38,Half Lubrication,Brass,9,150,190.7323529411765,189.11470588235292,193.53470588235294,9.725882352941175,9.771176470588234,9.709999999999999
38,39,Half Lubrication,Brass,9,200,190.20294117647057,189.2941176470588,191.96235294117645,9.318823529411766,9.32294117647059,9.237647058823528
39,40,Half Lubrication,Brass,9,250,176.48588235294116,175.78882352941176,176.3823529411765,8.831176470588234,8.94764705882353,9.084117647058823
40,41,Half Lubrication,Brass,10,100,31.721176470588233,32.83647058823529,35.194705882352935,11.763529411764706,11.732352941176472,11.743529411764706
41,42,Half Lubrication,Brass,10,150,49.99470588235294,53.751176470588234,56.39294117647059,11.058235294117647,11.116470588235295,10.99235294117647
42,43,Half Lubrication,Brass,10,200,72.58823529411765,88.67294117647059,82.40176470588236,10.81,10.674117647058823,10.57294117647059
43,44,Half Lubrication,Brass,10,250,100.43647058823528,105.62705882352941,105.5264705882353,10.229411764705883,10.191176470588236,10.159411764705881
44,45,Half Lubrication,Brass,11,100,80.01882352941176,83.19941176470586,86.34470588235294,13.022941176470589,13.082941176470587,12.836470588235294
45,46,Half Lubrication,Brass,11,150,106.1835294117647,108.04941176470588,110.1029411764706,12.38,12.24470588235294,12.02941176470588
46,47,Half Lubrication,Brass,11,200,122.29176470588236,125.42176470588235,128.10117647058823,11.93235294117647,11.708235294117648,11.59
47,48,Half Lubrication,Brass,11,250,88.84411764705884,92.62588235294118,91.49176470588235,11.367647058823529,11.135294117647058,11.058823529411764
48,49,Half Lubrication,Aluminium,2,100,109.04411764705883,110.20470588235294,112.81176470588235,1.9841176470588233,2.005294117647059,2.0005882352941176
