,Sample Number,Lubrication Condition,Pin Material,Weight (kg),RPM,Sensor,Name of file,wear,friction
57,58,Half Lubrication,Aluminium,4,150,Piezo,Piezo_58,109.07255319148936,4.3652127659574465
58,59,Half Lubrication,Aluminium,4,200,Piezo,Piezo_59,125.57989247311828,4.0767741935483865
59,60,Half Lubrication,Aluminium,4,250,Piezo,Piezo_60,126.83120879120878,3.8749450549450555
60,61,Half Lubrication,Aluminium,5,100,Piezo,Piezo_61,90.22813084112148,5.985420560747664
61,62,Half Lubrication,Aluminium,5,150,Piezo,Piezo_62,115.03086956521739,5.622934782608696
62,63,Half Lubrication,Aluminium,5,200,Piezo,Piezo_63,132.1489130434783,5.445434782608695
63,64,Half Lubrication,Aluminium,5,250,Piezo,Piezo_64,127.5490769230769,5.141538461538461
64,65,Full Lubrication,Brass,8,100,Piezo,Piezo_65,63.8166304347826,9.498695652173913
65,66,Full Lubrication,Brass,8,150,Piezo,Piezo_66,76.29516129032258,9.009139784946237
66,67,Full Lubrication,Brass,8,200,Piezo,Piezo_67,101.98731958762887,8.349072164948454
67,68,Full Lubrication,Brass,8,250,Piezo,Piezo_68,109.11505050505052,7.907070707070707
68,69,Full Lubrication,Brass,9,100,Piezo,Piezo_69,147.69064935064935,10.52038961038961
69,70,Full Lubrication,Brass,9,150,Piezo,Piezo_70,159.28438775510205,9.845510204081632
70,71,Full Lubrication,Brass,9,200,Piezo,Piezo_71,160.74326315789477,9.302842105263158
71,72,Full Lubrication,Brass,9,250,Piezo,Piezo_72,139.08,8.865869565217393
72,73,Full Lubrication,Brass,10,100,Piezo,Piezo_73,115.37881720430107,11.92752688172043
73,74,Full Lubrication,Brass,10,150,Piezo,Piezo_74,123.89622222222222,11.199777777777777
74,75,Full Lubrication,Brass,10,200,Piezo,Piezo_75,156.29075268817206,10.53741935483871
75,76,Full Lubrication,Brass,10,250,Piezo,Piezo_76,88.94893333333333,10.055333333333335
76,77,Full Lubrication,Brass,11,100,Piezo,Piezo_77,143.5916304347826,13.28195652173913
77,78,Full Lubrication,Brass,11,150,Piezo,Piezo_78,162.96202127659575,12.438191489361705
78,79,Full Lubrication,Brass,11,200,Piezo,Piezo_79,164.73423076923075,11.875384615384613
79,80,Full Lubrication,Brass,11,250,Piezo,Piezo_80,118.85773195876287,11.355360824742268
80,81,Full Lubrication,Aluminium,2,100,Piezo,Piezo_81,39.70554054054053,1.5435135135135136
81,82,Full Lubrication,Aluminium,2,150,Piezo,Piezo_82,38.17378640776699,1.439514563106796
82,83,Full Lubrication,Aluminium,2,200,Piezo,Piezo_83,28.09831168831169,1.1890909090909092
83,84,Full Lubrication,Aluminium,2,250,Piezo,Piezo_84,19.33294117647059,1.1079999999999999
84,85,Full Lubrication,Aluminium,3,100,Piezo,Piezo_85,39.63315789473684,2.595684210526316
85,86,Full Lubrication,Aluminium,3,150,Piezo,Piezo_86,38.90674698795181,2.361204819277109
86,87,Full Lubrication,Aluminium,3,200,Piezo,Piezo_87,36.74761904761905,2.1213095238095243
87,88,Full Lubrication,Aluminium,3,250,Piezo,Piezo_88,12.183902439024392,1.9791463414634145
88,89,Full Lubrication,Aluminium,4,100,Piezo,Piezo_89,40.945375,3.700875
89,90,Full Lubrication,Aluminium,4,150,Piezo,Piezo_90,69.93367088607596,3.240506329113924
90,91,Full Lubrication,Aluminium,4,200,Piezo,Piezo_91,72.32902173913044,2.990217391304348
91,92,Full Lubrication,Aluminium,4,250,Piezo,Piezo_92,43.67934065934066,2.7885714285714283
92,93,Full Lubrication,Aluminium,5,100,Piezo,Piezo_93,75.58833333333334,4.971969696969697
93,94,Full Lubrication,Aluminium,5,150,Piezo,Piezo_94,84.5392207792208,4.591298701298701
94,95,Full Lubrication,Aluminium,5,200,Piezo,Piezo_95,142.4655,4.29925
95,96,Full Lubrication,Aluminium,5,250,Piezo,Piezo_96,211.09797872340428,4.073723404255318
